Class,Surge,Type,Status
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
Suitable,,ICU,Occupied 
